iter	RMSE
0	16.36994088
1	16.04187823
2	15.70959523
3	15.4693369
4	15.1717756
5	14.86397842
6	14.63450314
7	14.37609569
8	14.10201009
9	13.81380614
10	13.56020402
11	13.28848925
12	13.06399821
13	12.82315895
14	12.5698052
15	12.30688434
16	12.11679351
17	11.89620211
18	11.65574306
19	11.42526118
20	11.20079028
21	11.00461697
22	10.81895926
23	10.62656959
24	10.44701409
25	10.27518889
26	10.08963224
27	9.903798808
28	9.750517848
29	9.608189178
30	9.447948927
31	9.296458084
32	9.164086029
33	9.04364983
34	8.902690358
35	8.768242735
36	8.613329236
37	8.473632392
38	8.348224448
39	8.213447102
40	8.068343545
41	7.922854018
42	7.771916225
43	7.676946588
44	7.556490459
45	7.450658798
46	7.345862813
47	7.245972404
48	7.131291758
49	7.034666202
50	6.935966834
51	6.843993019
52	6.750382691
53	6.650584258
54	6.570135201
55	6.48209697
56	6.382782835
57	6.277391944
58	6.176129081
59	6.078884443
60	5.991477778
61	5.907385951
62	5.832128504
63	5.736608704
64	5.650567288
65	5.58723211
66	5.4945858
67	5.430100271
68	5.36451995
69	5.299227586
70	5.232936376
71	5.161067178
72	5.0788725
73	5.018651213
74	4.950644568
75	4.878026235
76	4.809618422
77	4.762239424
78	4.714180803
79	4.653565403
80	4.605141506
81	4.5517568
82	4.489976653
83	4.421649892
84	4.375198918
85	4.312339174
86	4.256295732
87	4.201986445
88	4.146415951
89	4.091525602
90	4.035864894
91	3.983263422
92	3.921748934
93	3.875313974
94	3.813762984
95	3.769311774
96	3.715077388
97	3.684498564
98	3.630165656
99	3.590229296
100	3.542239182
101	3.514492886
102	3.461134903
103	3.417178282
104	3.380578651
105	3.335140069
106	3.289278672
107	3.25307857
108	3.223011301
109	3.190899439
110	3.149431512
111	3.111274943
112	3.081854092
113	3.045092701
114	3.016779404
115	2.996154311
116	2.949027142
117	2.909666001
118	2.876893744
119	2.855133768
120	2.820882622
121	2.783626513
122	2.758051382
123	2.737200987
124	2.713183477
125	2.680371369
126	2.652678703
127	2.616384471
128	2.588280286
129	2.565031469
130	2.541264814
131	2.518753406
132	2.495276443
133	2.469425869
134	2.441353316
135	2.415885057
136	2.39364844
137	2.38395554
138	2.360335336
139	2.34264067
140	2.321057467
141	2.294275826
142	2.271322688
143	2.25289483
144	2.226613866
145	2.199955535
146	2.175585451
147	2.152828043
148	2.148058363
149	2.129718846
150	2.109369472
151	2.086337606
152	2.070368356
153	2.050301223
154	2.036202806
155	2.031255835
156	2.026096605
157	2.005409391
158	1.98080055
159	1.967363449
160	1.948333276
161	1.927346381
162	1.915789333
163	1.901515756
164	1.897215697
165	1.881899643
166	1.866410687
167	1.847993663
168	1.829872832
169	1.810649989
170	1.800315035
171	1.778889961
172	1.771339585
173	1.760313256
174	1.744824112
175	1.726785078
176	1.722332526
177	1.718429432
178	1.701482907
179	1.698252791
180	1.689346647
181	1.672567031
182	1.660892135
183	1.648533492
184	1.632774772
185	1.620326871
186	1.6161538
187	1.612336861
188	1.596103229
189	1.588650758
190	1.580020512
191	1.566086044
192	1.56207009
193	1.557394707
194	1.544194968
195	1.539917046
196	1.532526689
197	1.529114934
198	1.512918317
199	1.509071776
200	1.505380929
201	1.496221849
202	1.481353812
203	1.473257081
204	1.45928973
205	1.446252363
206	1.435810985
207	1.424808348
208	1.42066496
209	1.416294973
210	1.409649353
211	1.406305152
212	1.39875499
213	1.387924701
214	1.375636442
215	1.364282425
216	1.353079819
217	1.346943137
218	1.34208356
219	1.331917269
220	1.322252341
221	1.313503504
222	1.302113578
223	1.299168008
224	1.288309158
225	1.279080145
226	1.271298051
227	1.2613292
228	1.252635808
229	1.243678158
230	1.234622399
231	1.230795343
232	1.222568633
233	1.217333553
234	1.214034364
235	1.210913467
236	1.208253816
237	1.202016842
238	1.196765749
239	1.189987653
240	1.179010807
241	1.167901743
242	1.1641706
243	1.156242297
244	1.148421656
245	1.144030704
246	1.140748744
247	1.137738973
248	1.135164843
249	1.131165932
250	1.125613425
251	1.122448042
252	1.120058599
253	1.116416534
254	1.114019055
255	1.107065088
256	1.103585581
257	1.095602058
258	1.08854198
259	1.081516264
260	1.078602166
261	1.072690288
262	1.069890814
263	1.067830209
264	1.061640275
265	1.059265587
266	1.051789186
267	1.049374143
268	1.043365519
269	1.041967384
270	1.037662775
271	1.030429305
272	1.028683344
273	1.026947165
274	1.020235432
275	1.014742135
276	1.013317486
277	1.007289339
278	1.002720173
279	0.9975776215
280	0.9927807087
281	0.986847011
282	0.9812467798
283	0.9797840196
284	0.9784019726
285	0.9736386943
286	0.9688735993
287	0.9649610388
288	0.9636968708
289	0.9606699245
290	0.9563731603
291	0.9525314568
292	0.9471762877
293	0.9455957188
294	0.9415787676
295	0.940394017
296	0.936914099
297	0.9358142012
298	0.9347693011
299	0.9326092392
300	0.9311784187
301	0.9256883777
302	0.9201608721
303	0.9152447452
304	0.912519607
305	0.910823935
306	0.907730177
307	0.9027990669
308	0.8974349946
309	0.8965269
310	0.8924022392
311	0.8913809739
312	0.883785495
313	0.8794060225
314	0.8728829571
315	0.8665395292
316	0.8656926946
