iter	Passed	Remaining
0	10	10821
1	24	12074
2	33	11005
3	39	9834
4	47	9411
5	53	8935
6	66	9461
7	74	9185
8	86	9558
9	93	9242
10	106	9580
11	117	9646
12	124	9455
13	134	9503
14	142	9390
15	153	9429
16	164	9485
17	175	9572
18	184	9515
19	193	9467
20	205	9587
21	214	9557
22	224	9538
23	235	9576
24	246	9615
25	258	9681
26	271	9791
27	282	9793
28	288	9659
29	296	9592
30	302	9452
31	308	9331
32	322	9452
33	332	9434
34	339	9362
35	350	9374
36	355	9260
37	362	9185
38	367	9058
39	373	8955
40	380	8910
41	386	8817
42	394	8783
43	400	8706
44	407	8640
45	412	8547
46	417	8457
47	423	8402
48	428	8322
49	433	8235
50	438	8160
51	445	8127
52	451	8064
53	457	8020
54	462	7949
55	468	7896
56	474	7852
57	479	7786
58	484	7725
59	490	7680
60	495	7623
61	502	7597
62	509	7579
63	514	7529
64	519	7473
65	523	7411
66	530	7390
67	535	7340
68	543	7331
69	548	7290
70	554	7250
71	561	7234
72	568	7222
73	577	7232
74	583	7191
75	591	7194
76	598	7171
77	610	7220
78	617	7193
79	626	7201
80	638	7245
81	647	7251
82	659	7283
83	665	7260
84	673	7247
85	679	7223
86	687	7209
87	692	7178
88	705	7223
89	715	7229
90	728	7281
91	737	7280
92	744	7261
93	752	7255
94	757	7216
95	762	7177
96	769	7159
97	774	7126
98	779	7089
99	785	7070
100	793	7065
101	800	7046
102	805	7014
103	810	6980
104	816	6958
105	821	6924
106	825	6890
107	830	6861
108	836	6835
109	840	6804
110	845	6773
111	851	6753
112	856	6724
113	861	6695
114	867	6675
115	872	6645
116	876	6616
117	883	6602
118	888	6574
119	893	6549
120	900	6539
121	904	6511
122	909	6486
123	915	6468
124	920	6442
125	925	6419
126	931	6404
127	936	6382
128	942	6364
129	954	6389
130	975	6470
131	988	6500
132	1002	6535
133	1011	6534
134	1018	6528
135	1024	6510
136	1033	6508
137	1046	6536
138	1055	6539
139	1064	6540
140	1071	6527
141	1080	6530
142	1097	6577
143	1104	6566
144	1132	6677
145	1162	6802
146	1197	6951
147	1221	7029
148	1236	7062
149	1250	7085
150	1264	7109
151	1274	7110
152	1281	7093
153	1288	7076
154	1298	7078
155	1307	7073
156	1313	7053
157	1327	7074
158	1356	7172
159	1369	7188
160	1376	7171
161	1382	7151
162	1396	7170
163	1407	7176
164	1410	7139
165	1417	7122
166	1428	7123
167	1445	7159
168	1458	7173
169	1481	7232
170	1492	7236
171	1500	7224
172	1512	7231
173	1525	7241
174	1531	7220
175	1539	7207
176	1546	7189
177	1552	7168
178	1574	7221
179	1590	7247
180	1597	7226
181	1609	7233
182	1616	7217
183	1626	7211
184	1631	7186
185	1637	7165
186	1642	7139
187	1647	7115
188	1654	7098
189	1659	7072
190	1664	7051
191	1669	7025
192	1674	7000
193	1678	6971
194	1682	6947
195	1689	6931
196	1695	6912
197	1701	6890
198	1706	6867
199	1711	6845
200	1716	6822
201	1721	6799
202	1725	6775
203	1730	6752
204	1736	6734
205	1741	6711
206	1746	6688
207	1752	6672
208	1759	6657
209	1797	6761
210	1803	6743
211	1807	6720
212	1814	6703
213	1819	6681
214	1823	6659
215	1828	6637
216	1834	6620
217	1839	6598
218	1844	6577
219	1850	6561
220	1855	6540
221	1860	6519
222	1866	6502
223	1871	6484
224	1881	6480
225	1887	6464
226	1892	6443
227	1898	6429
228	1907	6421
229	1914	6408
230	1920	6393
231	1926	6376
232	1938	6381
233	1946	6371
234	1952	6355
235	1956	6334
236	1964	6324
237	1969	6305
238	1974	6285
239	1981	6274
240	1986	6255
241	1990	6235
242	1999	6228
243	2002	6204
244	2007	6185
245	2015	6177
246	2020	6158
247	2026	6143
248	2033	6132
249	2038	6115
250	2045	6104
251	2050	6085
252	2055	6068
253	2061	6055
254	2066	6037
255	2071	6019
256	2077	6006
257	2082	5988
258	2087	5971
259	2093	5957
260	2099	5945
261	2104	5928
262	2110	5915
263	2114	5893
264	2121	5884
265	2128	5872
266	2133	5856
267	2138	5840
268	2144	5826
269	2149	5811
270	2154	5794
271	2160	5781
272	2165	5767
273	2171	5752
274	2178	5743
275	2185	5732
276	2195	5729
277	2202	5719
278	2208	5708
279	2213	5692
280	2218	5676
281	2225	5666
282	2230	5651
283	2235	5635
284	2242	5624
285	2246	5609
286	2251	5593
287	2257	5581
288	2262	5565
289	2267	5550
290	2275	5544
291	2280	5529
292	2285	5515
293	2292	5505
294	2298	5491
295	2303	5477
296	2308	5465
297	2313	5450
298	2319	5437
299	2324	5424
300	2330	5411
301	2335	5398
302	2341	5385
303	2346	5372
304	2352	5359
305	2357	5346
306	2362	5332
307	2367	5318
308	2373	5306
309	2378	5293
310	2382	5279
311	2388	5267
312	2394	5255
313	2399	5242
314	2407	5235
315	2412	5222
316	2419	5212
317	2424	5199
318	2429	5185
319	2435	5174
320	2439	5161
321	2444	5147
322	2449	5134
323	2455	5123
324	2460	5109
325	2464	5096
326	2472	5089
327	2477	5076
328	2483	5065
329	2488	5052
330	2493	5039
331	2499	5028
332	2506	5020
333	2511	5007
334	2522	5006
335	2528	4997
336	2537	4991
337	2542	4979
338	2548	4969
339	2556	4962
340	2566	4959
341	2573	4950
342	2582	4946
343	2591	4942
344	2600	4937
345	2606	4927
346	2614	4920
347	2624	4916
348	2632	4909
349	2638	4899
350	2649	4899
351	2669	4914
352	2674	4901
353	2681	4893
354	2687	4883
355	2692	4870
356	2701	4866
357	2707	4855
358	2714	4847
359	2719	4835
360	2724	4822
361	2730	4812
362	2735	4800
363	2740	4788
364	2746	4778
365	2752	4767
366	2757	4755
367	2763	4746
368	2768	4734
369	2773	4722
370	2779	4712
371	2784	4701
372	2789	4688
373	2796	4680
374	2801	4669
375	2806	4657
376	2813	4649
377	2818	4637
378	2822	4625
379	2829	4615
380	2833	4604
381	2838	4592
382	2844	4583
383	2849	4571
