Date;TransactionID_count;TransactionID_nunique;CustomerID_count;CustomerID_nunique;ProductID_count;ProductID_nunique;Age_mean;Age_std;Age_min;Age_max;Income_mean;Income_std;StoreID_count;StoreID_nunique;Qty_sum;Qty_mean;TotalAmount_sum;TotalAmount_mean;TotalAmount_std;Price_x_mean;Price_x_std;ProductID_P1;ProductID_P10;ProductID_P2;ProductID_P3;ProductID_P4;ProductID_P5;ProductID_P6;ProductID_P7;ProductID_P8;ProductID_P9;Age_0;Age_2;Age_3;Age_18;Age_19;Age_20;Age_21;Age_22;Age_23;Age_24;Age_25;Age_26;Age_27;Age_28;Age_29;Age_30;Age_31;Age_32;Age_33;Age_34;Age_35;Age_36;Age_37;Age_38;Age_39;Age_40;Age_41;Age_42;Age_43;Age_44;Age_45;Age_46;Age_47;Age_48;Age_49;Age_50;Age_51;Age_52;Age_53;Age_54;Age_55;Age_56;Age_57;Age_58;Age_59;Age_60;Age_61;Age_62;Age_65;Age_66;Age_68;Age_69;Age_70;Age_72;StoreID_1;StoreID_2;StoreID_3;StoreID_4;StoreID_5;StoreID_6;StoreID_7;StoreID_8;StoreID_9;StoreID_10;StoreID_11;StoreID_12;StoreID_13;StoreID_14;StoreName_Bonafid;StoreName_Buana;StoreName_Buana Indah;StoreName_Gita Ginara;StoreName_Harapan Baru;StoreName_Lingga;StoreName_Prestasi Utama;StoreName_Priangan;StoreName_Prima Kelapa Dua;StoreName_Prima Kota;StoreName_Prima Tendean;StoreName_Sinar Harapan;GroupStore_Buana;GroupStore_Gita;GroupStore_Harapan Baru;GroupStore_Lingga;GroupStore_Prestasi;GroupStore_Priangan;GroupStore_Prima;Type_General Trade;Type_Modern Trade;Latitude_-1,26916;Latitude_-2,990934;Latitude_-3,654703;Latitude_-5,135399;Latitude_-5,45;Latitude_-6,2;Latitude_-6,914864;Latitude_-6,966667;Latitude_-7,250445;Latitude_-7,797068;Latitude_0,533505;Latitude_3,316694;Latitude_3,597031;Latitude_5,54829;Longitude_101,447403;Longitude_104,756554;Longitude_105,26667;Longitude_106,816666;Longitude_107,608238;Longitude_110,370529;Longitude_110,416664;Longitude_112,768845;Longitude_114,590111;Longitude_116,825264;Longitude_119,42379;Longitude_128,190643;Longitude_95,323753;Longitude_98,678513;Marital Status_Married;Marital Status_Single;Gender_0;Gender_1;Product Name_Cashew;Product Name_Cheese Stick;Product Name_Choco Bar;Product Name_Coffee Candy;Product Name_Crackers;Product Name_Ginger Candy ;Product Name_Oat;Product Name_Potato Chip;Product Name_Thai Tea;Product Name_Yoghurt
2022-01-01;13;13;13;13;13;9;38.0;8.669871202426636;19;49;773.0769230769231;542.2232722071941;13;7;49;3.769230769230769;431200;33169.230769230766;20449.750797804547;9561.538461538461;3561.7267491902626;2;1;1;1;1;1;0;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;1;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;4;1;0;0;0;0;0;0;3;1;1;1;1;0;4;0;0;3;1;1;0;2;0;1;5;0;0;3;1;3;9;4;1;3;0;0;1;2;1;4;1;0;0;0;0;0;0;3;1;2;1;0;4;1;0;1;0;0;0;0;10;3;6;7;0;1;2;2;1;1;1;1;1;3
2022-01-02;16;16;16;16;16;7;40.125;10.42353107157071;20;58;818.125;444.6803908426815;16;10;59;3.6875;613600;38350.0;20479.908853963847;11575.0;5083.633870897209;2;3;1;2;0;1;4;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;1;0;2;2;0;2;1;2;2;1;1;1;2;3;2;2;0;2;0;0;2;3;2;3;2;2;2;9;7;1;2;2;1;2;0;0;1;2;2;0;1;2;0;0;2;2;0;0;2;1;2;1;1;1;2;0;2;14;2;9;7;4;3;2;3;2;1;0;0;1;0
2022-01-03;18;18;18;17;18;9;37.94444444444444;11.206469886644118;20;59;844.3888888888889;470.544382964954;18;8;63;3.5;561300;31183.333333333332;15793.380966497998;9961.111111111111;5310.604140761132;0;2;3;3;1;2;2;2;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;2;0;1;0;0;1;1;0;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;2;0;4;0;2;1;3;0;1;3;1;4;2;2;3;0;0;0;2;4;1;6;2;2;3;0;13;5;1;2;0;2;3;0;0;1;0;0;0;3;4;2;0;2;3;0;0;0;1;0;3;1;2;0;2;4;16;2;13;5;2;2;0;2;3;3;2;1;2;1
2022-01-04;18;18;18;17;18;8;41.55555555555556;11.361556553582853;19;61;749.9444444444445;523.0466712076828;18;10;45;2.5;396500;22027.777777777777;19272.34548916127;9994.444444444445;5666.877158720325;0;3;2;1;1;5;2;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;3;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;4;2;0;2;1;1;2;0;1;0;2;1;0;2;1;0;2;2;0;2;1;2;2;0;4;2;2;3;0;2;3;2;6;8;10;0;1;1;1;2;4;2;2;1;0;2;2;0;0;2;1;2;4;2;0;2;1;2;0;1;1;0;0;14;4;5;13;2;3;0;0;1;2;2;1;5;2
2022-01-05;10;10;10;9;10;6;33.8;5.287301349039559;27;44;801.0;398.22467137143684;10;7;30;3.0;273400;27340.0;19671.536120327088;10060.0;4014.47381359002;1;0;0;0;1;2;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;0;2;0;2;1;0;2;0;1;0;1;0;1;2;0;0;3;2;1;1;1;2;1;2;6;4;2;0;0;1;1;0;2;1;0;0;2;0;0;1;2;0;1;0;2;0;1;0;0;2;1;0;1;0;7;3;5;5;0;0;1;1;0;0;2;1;2;3
2022-01-06;18;18;18;17;18;7;41.77777777777778;14.683145822398894;18;72;966.5;761.7702486739068;18;11;71;3.9444444444444446;452600;25144.444444444445;16060.884973867125;6755.555555555556;4640.134661106573;0;1;6;2;2;5;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;1;0;0;1;0;0;1;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;1;0;1;1;2;2;2;0;1;0;2;0;0;1;1;2;3;1;2;2;3;1;2;1;1;4;3;1;2;6;7;11;0;1;2;1;2;1;2;1;0;3;0;1;2;2;0;1;2;1;2;3;1;0;1;0;1;2;2;2;11;7;11;7;1;1;0;1;2;6;0;2;5;0
2022-01-07;9;9;9;8;9;5;43.77777777777778;18.14371639010168;3;61;1104.0;986.5551175681975;9;8;37;4.111111111111111;272200;30244.444444444445;17241.745206845444;8288.888888888889;5237.471824373962;1;0;3;0;0;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;0;1;0;1;1;0;1;1;2;0;1;1;1;0;0;1;0;1;3;1;2;1;1;0;1;7;2;1;1;0;1;0;0;0;0;1;1;0;2;1;1;0;1;0;0;0;1;0;1;2;1;1;0;1;1;7;2;2;7;0;0;1;0;0;3;2;0;1;2
2022-01-08;15;15;15;15;15;7;35.333333333333336;14.850044091645303;2;59;708.7333333333333;556.0704563101266;15;11;47;3.1333333333333333;442100;29473.333333333332;14469.942574013141;10060.0;3755.909629218619;1;1;0;3;3;2;0;3;2;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;2;1;2;0;1;1;1;2;0;1;1;0;2;1;1;1;2;1;1;0;2;2;1;1;2;3;3;1;1;0;5;9;6;1;1;1;0;0;1;2;1;2;2;0;1;2;1;0;1;0;1;2;2;1;2;1;1;0;1;1;2;10;5;8;7;0;1;1;3;3;0;2;3;2;0
2022-01-09;14;14;14;13;14;7;39.714285714285715;9.441549509633317;24;54;781.3571428571429;641.240937215053;14;7;47;3.357142857142857;341200;24371.428571428572;18051.86666552493;8985.714285714286;5207.370094078517;2;1;2;0;1;4;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;3;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;3;1;3;0;0;1;1;0;0;0;1;3;0;1;3;2;0;3;0;1;1;3;3;1;5;5;9;0;0;3;0;1;0;3;0;1;2;3;0;1;0;3;0;1;0;3;2;0;1;0;0;0;3;0;1;11;3;7;7;0;1;2;0;0;2;3;1;4;1
2022-01-10;17;17;17;17;17;8;40.0;12.584712948653218;19;62;854.7058823529412;566.8921595755539;17;10;60;3.5294117647058822;537900;31641.176470588234;20916.592062987027;9752.941176470587;4222.131814477555;3;2;3;2;2;0;0;2;2;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;2;0;2;0;0;2;1;2;1;1;2;0;3;0;0;2;2;1;2;2;3;2;0;1;2;2;2;2;2;3;3;3;9;8;0;2;2;0;3;1;2;2;0;0;1;2;1;1;1;2;3;1;2;0;2;0;2;0;0;2;1;1;11;6;7;10;0;2;3;2;2;3;2;2;0;1
