TransactionID;CustomerID;Date;ProductID;Price_x;Qty;TotalAmount;StoreID;Age;Gender;Marital Status;Income;StoreName;GroupStore;Type;Latitude;Longitude;Product Name;Price_y
TR11369;328;01/01/2022;P3;7500;4;30000;12;36;0;Married;10,53;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Crackers;7500
TR16356;165;01/01/2022;P9;10000;7;70000;1;44;1;Married;14,58;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Yoghurt;10000
TR1984;183;01/01/2022;P1;8800;4;35200;4;27;1;Single;0,18;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Choco Bar;8800
TR35256;160;01/01/2022;P1;8800;7;61600;4;48;1;Married;12,57;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Choco Bar;8800
TR41231;386;01/01/2022;P9;10000;1;10000;4;33;0;Married;6,95;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Yoghurt;10000
TR51675;283;01/01/2022;P10;15000;1;15000;5;19;1;Single;0;Bonafid;Gita;General Trade;-7,250445;112,768845;Cheese Stick;15000
TR54287;51;01/01/2022;P8;16000;2;32000;2;36;0;Married;7,95;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238;Oat;16000
TR67455;49;01/01/2022;P5;4200;3;12600;13;44;1;Married;13,48;Buana;Buana;General Trade;-1,26916;116,825264;Thai Tea;4200
TR73041;222;01/01/2022;P9;10000;6;60000;4;45;0;Married;15,03;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Yoghurt;10000
TR7596;270;01/01/2022;P7;9400;2;18800;14;49;1;Married;8,81;Priangan;Priangan;Modern Trade;-5,45;105,26667;Coffee Candy;9400
TR76340;287;01/01/2022;P4;12000;4;48000;12;36;0;Single;3,7;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Potato Chip;12000
TR97336;233;01/01/2022;P7;9400;2;18800;12;43;1;Married;5,69;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Coffee Candy;9400
TR99839;123;01/01/2022;P2;3200;6;19200;1;34;0;Married;4,36;Prima Tendean;Prima;Modern Trade;-6,2;106,816666;Ginger Candy ;3200
TR14355;203;02/01/2022;P3;7500;4;30000;10;53;0;Married;17,2;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Crackers;7500
TR16534;421;02/01/2022;P3;7500;2;15000;14;35;0;Married;9,01;Priangan;Priangan;Modern Trade;-5,45;105,26667;Crackers;7500
TR2045;32;02/01/2022;P7;9400;4;37600;5;34;0;Married;10,96;Bonafid;Gita;General Trade;-7,250445;112,768845;Coffee Candy;9400
TR20925;159;02/01/2022;P10;15000;2;30000;13;53;1;Married;13,65;Buana;Buana;General Trade;-1,26916;116,825264;Cheese Stick;15000
TR26678;321;02/01/2022;P6;18000;3;54000;12;45;0;Married;8,03;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Cashew;18000
TR29436;335;02/01/2022;P6;18000;3;54000;3;29;1;Single;4,74;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Cashew;18000
TR30993;14;02/01/2022;P10;15000;2;30000;6;58;1;Married;10,18;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Cheese Stick;15000
TR33449;18;02/01/2022;P6;18000;2;36000;9;47;0;Married;13,6;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Cashew;18000
TR34291;333;02/01/2022;P7;9400;2;18800;7;47;0;Married;17,99;Buana Indah;Buana;General Trade;3,316694;114,590111;Coffee Candy;9400
TR3533;24;02/01/2022;P6;18000;3;54000;10;37;0;Married;9,53;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Cashew;18000
TR46701;48;02/01/2022;P2;3200;6;19200;9;32;0;Married;10,62;Lingga;Lingga;Modern Trade;-3,654703;128,190643;Ginger Candy ;3200
TR48742;87;02/01/2022;P5;4200;2;8400;3;44;1;Married;9,57;Prima Kota;Prima;Modern Trade;-7,797068;110,370529;Thai Tea;4200
TR63499;118;02/01/2022;P1;8800;7;61600;14;20;1;Single;3,28;Priangan;Priangan;Modern Trade;-5,45;105,26667;Choco Bar;8800
TR66576;250;02/01/2022;P7;9400;5;47000;5;30;1;Married;3,96;Bonafid;Gita;General Trade;-7,250445;112,768845;Coffee Candy;9400
TR7826;181;02/01/2022;P1;8800;10;88000;12;33;1;Married;9,94;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554;Choco Bar;8800
TR93759;34;02/01/2022;P10;15000;2;30000;4;45;0;Married;6,36;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Cheese Stick;15000
TR10346;322;03/01/2022;P3;7500;4;30000;4;41;0;Married;20,01;Gita Ginara;Gita;General Trade;-6,966667;110,416664;Crackers;7500
TR13;285;03/01/2022;P8;16000;1;16000;6;20;0;Single;0;Lingga;Lingga;Modern Trade;-5,135399;119,42379;Oat;16000
TR15573;91;03/01/2022;P2;3200;6;19200;13;59;0;Married;9,85;Buana;Buana;General Trade;-1,26916;116,825264;Ginger Candy ;3200
TR21783;78;03/01/2022;P5;4200;5;21000;10;41;1;Married;10,34;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513;Thai Tea;4200
